elapsed,label
513,www.samsung.com
259,www.samsung.com-0
254,www.samsung.com-1
638,www.vizio.com
227,www.vizio.com-0
411,www.vizio.com-1
1155,store.google.com
674,www.sprint.com
315,www.verizon.com
230,www.verizon.com-0
85,www.verizon.com-1
332,www.samsclub.com
313,www.sears.com
338,www.kmart.com
607,www.staples.com
366,www.dell.com
165,www.dell.com-0
201,www.dell.com-1
400,www.target.com
1275,www.bjs.com
783,www.lenovo.com
450,www.lenovo.com-0
333,www.lenovo.com-1
488,www.harborfreight.com
395,www.dickssportinggoods.com
481,www.amazon.com
530,www.kohls.com
664,www.walmart.com
690,www.walgreens.com
375,www.homedepot.com
451,www.wholefoods.com
170,www.wholefoods.com-0
279,www.wholefoods.com-1
387,www.apple.com
493,www.samsung.com
181,www.samsung.com-0
312,www.samsung.com-1
666,www.vizio.com
241,www.vizio.com-0
425,www.vizio.com-1
936,store.google.com
459,www.sprint.com
284,www.verizon.com
220,www.verizon.com-0
64,www.verizon.com-1
385,www.samsclub.com
366,www.sears.com
336,www.kmart.com
743,www.staples.com
448,www.dell.com
187,www.dell.com-0
261,www.dell.com-1
341,www.target.com
1306,www.bjs.com
473,www.lenovo.com
278,www.lenovo.com-0
195,www.lenovo.com-1
379,www.harborfreight.com
347,www.dickssportinggoods.com
479,www.amazon.com
759,www.kohls.com
790,www.walmart.com
598,www.walgreens.com
551,www.homedepot.com
462,www.wholefoods.com
206,www.wholefoods.com-0
256,www.wholefoods.com-1
539,www.apple.com
461,www.samsung.com
185,www.samsung.com-0
276,www.samsung.com-1
646,www.vizio.com
188,www.vizio.com-0
458,www.vizio.com-1
917,store.google.com
340,www.sprint.com
305,www.verizon.com
243,www.verizon.com-0
62,www.verizon.com-1
311,www.samsclub.com
334,www.sears.com
263,www.kmart.com
674,www.staples.com
357,www.dell.com
192,www.dell.com-0
165,www.dell.com-1
358,www.target.com
1875,www.bjs.com
406,www.lenovo.com
200,www.lenovo.com-0
205,www.lenovo.com-1
445,www.harborfreight.com
414,www.dickssportinggoods.com
397,www.amazon.com
614,www.kohls.com
610,www.walmart.com
662,www.walgreens.com
475,www.homedepot.com
417,www.wholefoods.com
161,www.wholefoods.com-0
255,www.wholefoods.com-1
412,www.apple.com
420,www.samsung.com
175,www.samsung.com-0
245,www.samsung.com-1
698,www.vizio.com
292,www.vizio.com-0
406,www.vizio.com-1
927,store.google.com
381,www.sprint.com
296,www.verizon.com
212,www.verizon.com-0
84,www.verizon.com-1
349,www.samsclub.com
491,www.sears.com
378,www.kmart.com
793,www.staples.com
488,www.dell.com
241,www.dell.com-0
247,www.dell.com-1
431,www.target.com
1379,www.bjs.com
446,www.lenovo.com
188,www.lenovo.com-0
258,www.lenovo.com-1
387,www.harborfreight.com
355,www.dickssportinggoods.com
485,www.amazon.com
672,www.kohls.com
873,www.walmart.com
1077,www.walgreens.com
1448,www.homedepot.com
536,www.wholefoods.com
259,www.wholefoods.com-0
276,www.wholefoods.com-1
459,www.apple.com
631,www.samsung.com
235,www.samsung.com-0
395,www.samsung.com-1
690,www.vizio.com
245,www.vizio.com-0
445,www.vizio.com-1
912,store.google.com
459,www.sprint.com
291,www.verizon.com
230,www.verizon.com-0
60,www.verizon.com-1
347,www.samsclub.com
283,www.sears.com
282,www.kmart.com
569,www.staples.com
382,www.dell.com
168,www.dell.com-0
214,www.dell.com-1
332,www.target.com
1390,www.bjs.com
1032,www.lenovo.com
515,www.lenovo.com-0
517,www.lenovo.com-1
1284,www.harborfreight.com
916,www.dickssportinggoods.com
499,www.amazon.com
618,www.kohls.com
624,www.walmart.com
852,www.walgreens.com
565,www.homedepot.com
966,www.wholefoods.com
507,www.wholefoods.com-0
458,www.wholefoods.com-1
375,www.apple.com
679,www.samsung.com
337,www.samsung.com-0
341,www.samsung.com-1
937,www.vizio.com
452,www.vizio.com-0
485,www.vizio.com-1
1230,store.google.com
601,www.sprint.com
508,www.verizon.com
407,www.verizon.com-0
100,www.verizon.com-1
490,www.samsclub.com
440,www.sears.com
532,www.kmart.com
1005,www.staples.com
549,www.dell.com
291,www.dell.com-0
258,www.dell.com-1
506,www.target.com
2932,www.bjs.com
536,www.lenovo.com
293,www.lenovo.com-0
243,www.lenovo.com-1
805,www.harborfreight.com
800,www.dickssportinggoods.com
739,www.amazon.com
635,www.kohls.com
558,www.walmart.com
1026,www.walgreens.com
422,www.homedepot.com
514,www.wholefoods.com
249,www.wholefoods.com-0
263,www.wholefoods.com-1
271,www.apple.com
414,www.samsung.com
212,www.samsung.com-0
202,www.samsung.com-1
742,www.vizio.com
258,www.vizio.com-0
484,www.vizio.com-1
1148,store.google.com
404,www.sprint.com
273,www.verizon.com
209,www.verizon.com-0
64,www.verizon.com-1
378,www.samsclub.com
433,www.sears.com
340,www.kmart.com
753,www.staples.com
440,www.dell.com
240,www.dell.com-0
200,www.dell.com-1
386,www.target.com
471,www.bjs.com
540,www.lenovo.com
206,www.lenovo.com-0
333,www.lenovo.com-1
427,www.harborfreight.com
406,www.dickssportinggoods.com
765,www.amazon.com
731,www.kohls.com
295,www.kohls.com-0
435,www.kohls.com-1
525,www.walmart.com
719,www.walgreens.com
585,www.homedepot.com
478,www.wholefoods.com
193,www.wholefoods.com-0
284,www.wholefoods.com-1
211,www.apple.com
444,www.samsung.com
167,www.samsung.com-0
276,www.samsung.com-1
731,www.vizio.com
262,www.vizio.com-0
468,www.vizio.com-1
985,store.google.com
339,www.sprint.com
214,www.verizon.com
150,www.verizon.com-0
64,www.verizon.com-1
315,www.samsclub.com
272,www.sears.com
271,www.kmart.com
760,www.staples.com
316,www.dell.com
170,www.dell.com-0
145,www.dell.com-1
362,www.target.com
416,www.bjs.com
339,www.lenovo.com
158,www.lenovo.com-0
180,www.lenovo.com-1
363,www.harborfreight.com
335,www.dickssportinggoods.com
